Percentile,Year,Mundo,Bahamas,Barbados,Cuba,Haití,Jamaica,Puerto Rico,República Dominicana,Santa Lucía,San Vicente y las Granadinas,Trinidad y Tobago
p0p100,1999,12396,43897,15447,11041,5019,12173,21411,12343,15174,10240,16113
p0p100,2000,12801,44185,16016,11642,4922,12116,21040,12600,14819,10289,16788
p0p100,2001,12843,43956,15378,11985,4804,12013,21205,12607,13824,10441,17378
p0p100,2002,12967,43446,15359,12070,4760,11884,21406,12857,13770,10851,18463
p0p100,2003,13180,41931,15563,12339,4737,12129,22368,12087,13791,11305,20137
p0p100,2004,13700,41514,15498,12907,4617,12156,23265,11936,14245,11502,22672
p0p100,2005,14079,42134,16073,14323,4598,12015,22890,13189,13792,11649,22913
p0p100,2006,14620,41964,16240,16088,4638,12253,22310,14189,14922,12644,25094
p0p100,2007,15092,41882,17116,17010,4695,12200,21846,14917,14720,13029,26283
p0p100,2008,15237,40690,17556,17453,4738,12051,20997,15298,15172,12901,27477
p0p100,2009,14753,37778,16218,17260,4742,11103,20307,15107,14814,12814,25385
p0p100,2010,15245,37299,16086,17574,4506,10968,19938,15968,14788,12138,26017
p0p100,2011,15662,36867,16422,18101,4597,10994,19976,16111,15770,12033,23631
p0p100,2012,15921,37384,15067,18571,4568,10981,20523,16190,15213,12324,25681
p0p100,2013,16217,35148,15217,19025,4600,10771,20522,16444,14407,12656,27453
p0p100,2014,16596,34317,13029,19083,4592,10665,20363,17204,13662,12259,27983
p0p100,2015,16908,34134,15114,19946,4591,10410,20379,18199,12809,12801,29249
p0p100,2016,17193,33095,14174,19917,4588,10251,20188,19040,13547,13777,26622
p0p100,2017,17605,33978,14168,20242,4596,10368,19628,19436,14008,13937,25719
p0p100,2018,17941,33121,13954,20712,4532,10287,19455,20491,14211,14278,24155
p0p100,2019,18108,33291,13714,20662,4338,10317,19197,21103,13983,14286,23912
